class_id,class_coverage,support_count,model_name,method
0,0.9781181619256017,914,AlexNet,SplitConformal
1,0.9713656387665198,454,AlexNet,SplitConformal
2,0.9581005586592178,358,AlexNet,SplitConformal
3,0.8717948717948718,156,AlexNet,SplitConformal
4,0.9807692307692307,104,AlexNet,SplitConformal
5,0.8118811881188119,101,AlexNet,SplitConformal
6,0.7941176470588235,68,AlexNet,SplitConformal
0,0.962800875273523,914,AlexNet,ClassConditionalConformal
1,0.9713656387665198,454,AlexNet,ClassConditionalConformal
2,0.9581005586592178,358,AlexNet,ClassConditionalConformal
3,0.9551282051282052,156,AlexNet,ClassConditionalConformal
4,1.0,104,AlexNet,ClassConditionalConformal
5,0.9108910891089109,101,AlexNet,ClassConditionalConformal
6,0.9264705882352942,68,AlexNet,ClassConditionalConformal
0,0.9671772428884027,914,AlexNet,RC3P
1,0.973568281938326,454,AlexNet,RC3P
2,0.9581005586592178,358,AlexNet,RC3P
3,0.9551282051282052,156,AlexNet,RC3P
4,1.0,104,AlexNet,RC3P
5,0.9108910891089109,101,AlexNet,RC3P
6,0.9264705882352942,68,AlexNet,RC3P
0,0.962800875273523,914,AlexNet,ClusteredConformal
1,0.973568281938326,454,AlexNet,ClusteredConformal
2,0.9664804469273743,358,AlexNet,ClusteredConformal
3,0.9102564102564102,156,AlexNet,ClusteredConformal
4,0.9807692307692307,104,AlexNet,ClusteredConformal
5,0.9108910891089109,101,AlexNet,ClusteredConformal
6,0.8970588235294118,68,AlexNet,ClusteredConformal
0,1.0,914,AlexNet,RAPS
1,1.0,454,AlexNet,RAPS
2,1.0,358,AlexNet,RAPS
3,1.0,156,AlexNet,RAPS
4,1.0,104,AlexNet,RAPS
5,1.0,101,AlexNet,RAPS
6,1.0,68,AlexNet,RAPS
0,0.9923413566739606,914,GFNet,SplitConformal
1,0.9625550660792952,454,GFNet,SplitConformal
2,0.9050279329608939,358,GFNet,SplitConformal
3,0.9102564102564102,156,GFNet,SplitConformal
4,1.0,104,GFNet,SplitConformal
5,0.8514851485148515,101,GFNet,SplitConformal
6,0.8676470588235294,68,GFNet,SplitConformal
0,0.9671772428884027,914,GFNet,ClassConditionalConformal
1,0.9691629955947136,454,GFNet,ClassConditionalConformal
2,0.9497206703910615,358,GFNet,ClassConditionalConformal
3,0.9935897435897436,156,GFNet,ClassConditionalConformal
4,0.9903846153846154,104,GFNet,ClassConditionalConformal
5,0.9504950495049505,101,GFNet,ClassConditionalConformal
6,0.9852941176470589,68,GFNet,ClassConditionalConformal
0,0.9715536105032823,914,GFNet,RC3P
1,0.9713656387665198,454,GFNet,RC3P
2,0.9553072625698324,358,GFNet,RC3P
3,0.9935897435897436,156,GFNet,RC3P
4,0.9903846153846154,104,GFNet,RC3P
5,0.9900990099009901,101,GFNet,RC3P
6,0.9852941176470589,68,GFNet,RC3P
0,0.9912472647702407,914,GFNet,ClusteredConformal
1,0.8612334801762115,454,GFNet,ClusteredConformal
2,0.9553072625698324,358,GFNet,ClusteredConformal
3,0.9294871794871795,156,GFNet,ClusteredConformal
4,1.0,104,GFNet,ClusteredConformal
5,0.9504950495049505,101,GFNet,ClusteredConformal
6,0.9852941176470589,68,GFNet,ClusteredConformal
0,1.0,914,GFNet,RAPS
1,1.0,454,GFNet,RAPS
2,0.994413407821229,358,GFNet,RAPS
3,1.0,156,GFNet,RAPS
4,1.0,104,GFNet,RAPS
5,1.0,101,GFNet,RAPS
6,1.0,68,GFNet,RAPS
0,0.9923413566739606,914,ViT,SplitConformal
1,0.9537444933920705,454,ViT,SplitConformal
2,0.9078212290502793,358,ViT,SplitConformal
3,0.9743589743589743,156,ViT,SplitConformal
4,0.9807692307692307,104,ViT,SplitConformal
5,0.9702970297029703,101,ViT,SplitConformal
6,0.9558823529411765,68,ViT,SplitConformal
0,0.9223194748358862,914,ViT,ClassConditionalConformal
1,0.9713656387665198,454,ViT,ClassConditionalConformal
2,0.946927374301676,358,ViT,ClassConditionalConformal
3,0.9743589743589743,156,ViT,ClassConditionalConformal
4,0.9903846153846154,104,ViT,ClassConditionalConformal
5,0.9702970297029703,101,ViT,ClassConditionalConformal
6,0.9558823529411765,68,ViT,ClassConditionalConformal
0,0.9234135667396062,914,ViT,RC3P
1,0.973568281938326,454,ViT,RC3P
2,0.9553072625698324,358,ViT,RC3P
3,0.9807692307692307,156,ViT,RC3P
4,0.9903846153846154,104,ViT,RC3P
5,0.9702970297029703,101,ViT,RC3P
6,0.9558823529411765,68,ViT,RC3P
0,0.9934354485776805,914,ViT,ClusteredConformal
1,0.9581497797356828,454,ViT,ClusteredConformal
2,0.9078212290502793,358,ViT,ClusteredConformal
3,0.9743589743589743,156,ViT,ClusteredConformal
4,0.9903846153846154,104,ViT,ClusteredConformal
5,0.9702970297029703,101,ViT,ClusteredConformal
6,0.9558823529411765,68,ViT,ClusteredConformal
0,0.9989059080962801,914,ViT,RAPS
1,0.9933920704845814,454,ViT,RAPS
2,0.9916201117318436,358,ViT,RAPS
3,0.9935897435897436,156,ViT,RAPS
4,1.0,104,ViT,RAPS
5,0.9900990099009901,101,ViT,RAPS
6,1.0,68,ViT,RAPS
